timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603287873783,1588,read all users,200,,jp@gc - Ultimate Thread Group - Spike test 2-200,text,false,"The result was the wrong size: It was 49,809 bytes, but should have been less than 10,000 bytes.",49809,125,64,214,http://localhost:8080/user/read,1587,0,0
1603287875326,46,create user,201,,jp@gc - Ultimate Thread Group - Spike test 2-138,text,true,,339,282,64,214,http://localhost:8080/user/create,46,0,1
1603287875372,0,check jmeter variables for user id,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-138,text,true,,355,0,64,214,null,0,0,0
1603287875372,3,update user,202,,jp@gc - Ultimate Thread Group - Spike test 2-200,text,true,,336,286,64,214,http://localhost:8080/user/update/11192,2,0,0
1603287875350,52,create user,201,,jp@gc - Ultimate Thread Group - Spike test 2-137,text,true,,339,282,66,216,http://localhost:8080/user/create,52,0,1
1603287875402,0,check jmeter variables for user id,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-137,text,true,,355,0,66,216,null,0,0,0
1603287874600,844,create user,201,,jp@gc - Ultimate Thread Group - Spike test 2-167,text,true,,339,282,67,217,http://localhost:8080/user/create,843,0,1
1603287875444,0,check jmeter variables for user id,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-167,text,true,,355,0,67,217,null,0,0,0
1603287874450,995,create user,201,,jp@gc - Ultimate Thread Group - Spike test 2-173,text,true,,339,282,67,217,http://localhost:8080/user/create,995,0,1
1603287875445,0,check jmeter variables for user id,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-173,text,true,,355,0,67,217,null,0,0,0
1603287873799,1649,create user,201,,jp@gc - Ultimate Thread Group - Spike test 2-199,text,true,,339,282,67,217,http://localhost:8080/user/create,1649,0,1
1603287875448,0,check jmeter variables for user id,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-199,text,true,,355,0,67,217,null,0,0,0
1603287873875,1574,create user,201,,jp@gc - Ultimate Thread Group - Spike test 2-196,text,true,,339,282,67,217,http://localhost:8080/user/create,1574,0,0
1603287875449,0,check jmeter variables for user id,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-196,text,true,,355,0,67,217,null,0,0,0
1603287874525,932,create user,201,,jp@gc - Ultimate Thread Group - Spike test 2-170,text,true,,339,282,68,218,http://localhost:8080/user/create,932,0,1
1603287875458,0,check jmeter variables for user id,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-170,text,true,,354,0,68,218,null,0,0,0
1603287874550,909,create user,201,,jp@gc - Ultimate Thread Group - Spike test 2-169,text,true,,339,282,68,218,http://localhost:8080/user/create,909,0,1
1603287875459,0,check jmeter variables for user id,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-169,text,true,,355,0,68,218,null,0,0,0
1603287875343,164,read all users,200,,jp@gc - Ultimate Thread Group - Spike test 2-141,text,false,"The result was the wrong size: It was 51,023 bytes, but should have been less than 10,000 bytes.",51023,125,70,220,http://localhost:8080/user/read,156,0,0
1603287875452,123,create user,201,,jp@gc - Ultimate Thread Group - Spike test 2-133,text,true,,339,282,72,222,http://localhost:8080/user/create,123,0,0
1603287875575,0,check jmeter variables for user id,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-133,text,true,,355,0,73,223,null,0,0,0
1603287874626,955,create user,201,,jp@gc - Ultimate Thread Group - Spike test 2-166,text,true,,339,282,73,223,http://localhost:8080/user/create,955,0,1
1603287875581,0,check jmeter variables for user id,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-166,text,true,,355,0,73,223,null,0,0,0
1603287875363,232,read all users,200,,jp@gc - Ultimate Thread Group - Spike test 2-140,text,false,"The result was the wrong size: It was 51,370 bytes, but should have been less than 10,000 bytes.",51370,125,73,223,http://localhost:8080/user/read,230,0,0
1603287874650,948,create user,201,,jp@gc - Ultimate Thread Group - Spike test 2-165,text,true,,339,282,73,223,http://localhost:8080/user/create,947,0,1
1603287875598,0,check jmeter variables for user id,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-165,text,true,,355,0,73,223,null,0,0,0
1603287874675,924,create user,201,,jp@gc - Ultimate Thread Group - Spike test 2-164,text,true,,339,282,73,223,http://localhost:8080/user/create,924,0,0
1603287875599,0,check jmeter variables for user id,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-164,text,true,,355,0,73,223,null,0,0,0
1603287874701,900,create user,201,,jp@gc - Ultimate Thread Group - Spike test 2-163,text,true,,339,282,74,224,http://localhost:8080/user/create,900,0,0
1603287875601,0,check jmeter variables for user id,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-163,text,true,,355,0,74,224,null,0,0,0
1603287875342,275,read all users,200,,jp@gc - Ultimate Thread Group - Spike test 2-142,text,false,"The result was the wrong size: It was 51,308 bytes, but should have been less than 10,000 bytes.",51308,125,74,224,http://localhost:8080/user/read,273,0,0
1603287875501,122,create user,201,,jp@gc - Ultimate Thread Group - Spike test 2-131,text,true,,339,282,74,224,http://localhost:8080/user/create,122,0,1
1603287875624,0,check jmeter variables for user id,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-131,text,true,,355,0,74,224,null,0,0,0
1603287874666,971,read all users,200,,jp@gc - Ultimate Thread Group - Spike test 2-198,text,false,"The result was the wrong size: It was 51,897 bytes, but should have been less than 10,000 bytes.",51897,125,75,225,http://localhost:8080/user/read,950,0,0
1603287874672,1009,read all users,200,,jp@gc - Ultimate Thread Group - Spike test 2-195,text,false,"The result was the wrong size: It was 51,959 bytes, but should have been less than 10,000 bytes.",51959,125,77,227,http://localhost:8080/user/read,1007,0,0
1603287875601,96,read all users,200,,jp@gc - Ultimate Thread Group - Spike test 2-163,text,false,"The result was the wrong size: It was 52,048 bytes, but should have been less than 10,000 bytes.",52048,125,77,227,http://localhost:8080/user/read,94,0,0
1603287874775,922,create user,201,,jp@gc - Ultimate Thread Group - Spike test 2-160,text,true,,339,282,77,227,http://localhost:8080/user/create,922,0,1
